Class,Tool Worship,Reality Show Studies,Plant Telepathy Practice,Box Collecting,Laser Pointer Chasing
Quorvian,8,10,11,6,11
Zarnak,10,8,2,7,4
Bliptor,7,4,8,9,14
Quorvian,2,4,11,5,6
Quorvian,4,2,14,2,0
Zarnak,10,5,0,1,0
Quorvian,8,3,12,6,8
Zarnak,8,13,4,5,4
Zarnak,13,10,8,2,1
Bliptor,6,2,1,11,9
Bliptor,3,8,6,14,6
Quorvian,5,3,14,4,4
Zarnak,14,13,5,2,7
Quorvian,3,3,12,3,9
Quorvian,1,4,14,2,3
Quorvian,2,0,10,3,6
Bliptor,2,0,5,7,12
Zarnak,7,14,7,4,6
Bliptor,4,2,1,14,14
Zarnak,12,9,3,4,0
Zarnak,9,14,6,3,7
Quorvian,7,7,5,8,10
Bliptor,0,5,2,14,8
Quorvian,9,10,12,5,6
Quorvian,2,3,9,7,0
Quorvian,8,9,10,9,9
Quorvian,12,12,10,8,6
Quorvian,7,6,11,1,7
Bliptor,1,4,2,14,11
Zarnak,11,9,6,1,3
Bliptor,3,1,5,13,7
Bliptor,5,6,4,12,9
Zarnak,12,9,6,8,0
Quorvian,10,0,14,9,5
Quorvian,5,12,12,2,7
Bliptor,3,4,3,14,5
Zarnak,14,4,9,0,3
Bliptor,6,3,3,14,7
Bliptor,5,6,0,13,13
Zarnak,8,9,9,7,9
Quorvian,8,14,11,5,9
Quorvian,7,7,10,2,5
Zarnak,6,9,2,3,5
Zarnak,13,10,5,6,0
Zarnak,14,4,2,6,2
Quorvian,2,1,14,4,5
Zarnak,9,7,6,3,1
Quorvian,9,11,10,4,4
Bliptor,5,4,5,9,14
Quorvian,3,8,8,8,5
Quorvian,7,8,12,0,5
Quorvian,6,0,13,5,7
Quorvian,8,11,14,8,7
Bliptor,5,5,2,14,13
Quorvian,5,6,12,3,8
Bliptor,4,8,2,9,14
Zarnak,13,4,6,1,1
Bliptor,9,9,2,14,13
Zarnak,12,5,4,7,3
Zarnak,4,12,6,1,8
Bliptor,5,5,4,11,14
Zarnak,8,14,1,0,7
Zarnak,13,8,8,5,0
Zarnak,9,7,3,4,0
Zarnak,9,11,2,1,2
Bliptor,4,8,2,14,5
Bliptor,7,4,0,12,11
Zarnak,8,13,9,8,9
Bliptor,5,6,2,13,14
Quorvian,7,4,14,0,8
Bliptor,1,3,2,7,14
Zarnak,11,5,6,0,0
Quorvian,7,3,13,3,5
Bliptor,3,0,5,12,5
Bliptor,0,6,1,9,9
Bliptor,3,7,5,12,9
Bliptor,5,2,6,13,8
Bliptor,6,3,6,14,10
Quorvian,12,4,13,5,7
Bliptor,6,11,3,11,12
Quorvian,6,0,13,3,5
Bliptor,6,5,4,13,11
Quorvian,5,3,14,0,0
Bliptor,7,8,2,8,10
Quorvian,8,5,14,3,7
Bliptor,6,2,0,14,11
Zarnak,11,11,7,0,3
Bliptor,6,8,5,9,12
Quorvian,9,10,11,9,8
Zarnak,12,9,5,3,8
Quorvian,5,1,12,4,2
Zarnak,9,5,4,4,7
Zarnak,10,10,6,5,8
Zarnak,13,6,4,4,4
Bliptor,2,9,0,14,10
Bliptor,5,4,2,10,13
Bliptor,7,10,3,8,14
Quorvian,4,7,14,4,1
Quorvian,4,1,14,3,3
Zarnak,12,4,1,3,0
Quorvian,0,1,14,1,3
Quorvian,12,11,10,8,4
Bliptor,8,10,4,14,3
Zarnak,11,13,2,5,7
Zarnak,14,2,7,0,0
Quorvian,3,2,12,3,0
Bliptor,4,2,4,12,7
Bliptor,3,0,1,7,14
Quorvian,7,7,9,6,3
Zarnak,14,7,4,3,1
Bliptor,8,7,0,14,14
Bliptor,0,6,1,13,14
Bliptor,7,4,8,11,12
Bliptor,3,5,3,14,6
Zarnak,9,14,2,6,7
Zarnak,13,11,2,0,1
Bliptor,8,6,3,9,7
Quorvian,9,6,10,5,3
Bliptor,6,6,4,13,14
Zarnak,10,11,7,5,6
Quorvian,2,0,13,2,6
Bliptor,7,6,2,11,7
Zarnak,12,10,5,3,4
Quorvian,8,1,14,5,6
Quorvian,4,4,14,3,3
Zarnak,13,8,9,0,7
Quorvian,7,6,14,4,3
Bliptor,4,1,5,12,12
Bliptor,6,3,0,14,10
Zarnak,10,8,7,4,11
Bliptor,8,8,4,8,14
Zarnak,11,9,6,5,3
Zarnak,9,9,7,4,3
Quorvian,3,9,7,6,6
Zarnak,14,10,5,4,8
Quorvian,6,4,14,8,4
Zarnak,8,10,2,5,3
Bliptor,7,5,4,8,11
Zarnak,11,11,5,2,12
Zarnak,10,6,5,3,0
Quorvian,7,11,13,2,7
Quorvian,2,0,14,3,5
Zarnak,5,8,3,5,7
Zarnak,13,3,2,1,1
Zarnak,10,14,5,4,8
Bliptor,3,5,2,12,8
Bliptor,9,7,4,14,11
Quorvian,8,5,10,5,13
Quorvian,7,2,14,3,5
Zarnak,14,8,5,0,0
